Date,HPI_AVG
1975-01-31,0.0
1975-02-28,0.6279651348219288
1975-03-31,1.6618502568222093
1975-04-30,3.0265300349919206
1975-05-31,3.9000136808076173
1975-06-30,4.12295587169344
1975-07-31,4.381031289406682
1975-08-31,4.791363037969147
1975-09-30,5.16660754700391
1975-10-31,5.5392362878984915
1975-11-30,6.029867552334346
1975-12-31,6.625983587983336
1976-01-31,7.2422857210313785
1976-02-29,7.90459270533484
1976-03-31,8.834107920084318
1976-04-30,10.032450123326196
1976-05-31,10.91979306472731
1976-06-30,11.537688773008238
1976-07-31,12.303520231224534
1976-08-31,13.035573748127746
1976-09-30,13.607927977414988
1976-10-31,14.209640390132432
1976-11-30,15.04970897345686
1976-12-31,15.926571341728144
1977-01-31,16.75237469780162
1977-02-28,17.77363047321182
1977-03-31,19.34689444204108
1977-04-30,21.523253241141795
1977-05-31,23.4175818979801
1977-06-30,24.770572544552753
1977-07-31,26.205183789750926
1977-08-31,27.764392325823717
1977-09-30,29.10654967850374
1977-10-31,30.344242817906068
1977-11-30,31.69949199338837
1977-12-31,32.97487063564287
1978-01-31,34.1380333699568
1978-02-28,35.28620053720818
1978-03-31,36.6808186420349
1978-04-30,38.562592022878896
1978-05-31,40.47535005292401
1978-06-30,42.162207183284764
1978-07-31,43.891115841136155
1978-08-31,45.54199299486068
1978-09-30,46.97604277797819
1978-10-31,48.36893932112458
1978-11-30,49.72022877734178
1978-12-31,50.91218926919524
1979-01-31,52.140609884333365
1979-02-28,53.57838488078947
1979-03-31,55.397924475742656
1979-04-30,57.67661962531401
1979-05-31,59.80437482571331
1979-06-30,61.53064788767474
1979-07-31,63.23591764233567
1979-08-31,65.03405632181594
1979-09-30,66.67134662572232
1979-10-31,67.93436975157174
1979-11-30,69.0090375652169
1979-12-31,69.96436207221927
1980-01-31,70.91873448626417
1980-02-29,72.06821676118865
1980-03-31,73.52316063548567
1980-04-30,75.12370932915793
1980-05-31,76.2880297679439
1980-06-30,77.16492216449076
1980-07-31,78.40558291798001
1980-08-31,79.94047973658053
1980-09-30,81.23446602767602
1980-10-31,81.94166883845784
1980-11-30,82.24417649380702
1980-12-31,82.70540435616206
1981-01-31,83.42931175948681
1981-02-28,84.23853671311905
1981-03-31,85.24436547149993
1981-04-30,86.40440069147793
1981-05-31,87.52565924536357
1981-06-30,88.49398808081637
1981-07-31,89.14621545503977
1981-08-31,89.45925327624994
1981-09-30,89.68064290209344
1981-10-31,89.812785617881
1981-11-30,89.79346535487153
1981-12-31,89.8165528181466
1982-01-31,90.07396705323505
1982-02-28,90.52221966415892
1982-03-31,91.07853171506524
1982-04-30,91.66009741834235
1982-05-31,91.98143961840812
1982-06-30,91.89295153489445
1982-07-31,91.65158704577101
1982-08-31,91.54860015910279
1982-09-30,91.65746465074135
1982-10-31,91.97869291662447
1982-11-30,92.57708335527361
1982-12-31,93.4119510208818
1983-01-31,94.32224481410312
1983-02-28,95.2553641523524
1983-03-31,96.27213574349462
1983-04-30,97.42361704119597
1983-05-31,98.62341320581297
1983-06-30,99.79632207964542
1983-07-31,100.81986631881388
1983-08-31,101.50572916247683
1983-09-30,101.98210594800928
1983-10-31,102.45382919591464
1983-11-30,102.93582994070337
1983-12-31,103.42841260139782
1984-01-31,103.95947977357464
1984-02-29,104.61176944659634
1984-03-31,105.59332470762658
1984-04-30,106.93003378196292
1984-05-31,108.3271618871131
1984-06-30,109.53271878806177
1984-07-31,110.52190639505501
1984-08-31,111.22353844898991
1984-09-30,111.67594188403386
1984-10-31,112.08920564251657
1984-11-30,112.64351433053886
1984-12-31,113.43859697707806
1985-01-31,114.31084170066319
1985-02-28,115.13836951465287
1985-03-31,115.97972789968314
1985-04-30,116.88897077545238
1985-05-31,118.0307837328162
1985-06-30,119.46025631238295
1985-07-31,121.01776133091956
1985-08-31,122.55871156280342
1985-09-30,123.71183543818033
1985-10-31,124.46367720649614
1985-11-30,125.10179278602362
1985-12-31,125.84426724417348
1986-01-31,126.70939551275124
1986-02-28,127.85027160575271
1986-03-31,129.34648588168048
1986-04-30,131.19557716429318
1986-05-31,133.42831150068264
1986-06-30,135.7222570181277
1986-07-31,137.65481913120914
1986-08-31,138.763450113617
1986-09-30,139.34127630498332
1986-10-31,140.39119053832962
1986-11-30,141.8333029155664
1986-12-31,143.0316139694091
1987-01-31,144.22105313079632
1987-02-28,145.5751343970341
1987-03-31,147.31482552875642
1987-04-30,149.2418384666196
1987-05-31,150.98832722958767
1987-06-30,152.89069934500435
1987-07-31,154.53128680962664
1987-08-31,155.68461436003193
1987-09-30,156.69210353639178
1987-10-31,157.53250223964713
1987-11-30,158.23851836661132
1987-12-31,158.9634542606701
1988-01-31,159.94816238022364
1988-02-29,161.2766327038999
1988-03-31,163.05844964604267
1988-04-30,165.20252138159626
1988-05-31,167.47423700611614
1988-06-30,169.6139190502826
1988-07-31,171.30153026789048
1988-08-31,172.5814177931049
1988-09-30,173.81064736259825
1988-10-31,175.1235595912146
1988-11-30,176.48490314770402
1988-12-31,177.83796761856505
1989-01-31,179.17771173152954
1989-02-28,180.72734475969364
1989-03-31,182.7452927012066
1989-04-30,185.07009639747017
1989-05-31,187.39090387000576
1989-06-30,189.57717508738764
1989-07-31,191.68103666447226
1989-08-31,193.52820191624707
1989-09-30,194.8469608934556
1989-10-31,195.8829841722157
1989-11-30,196.8164114032718
1989-12-31,197.8056243204789
1990-01-31,198.64110366516095
1990-02-28,199.26893011190134
1990-03-31,200.13259299553428
1990-04-30,201.17534484178032
1990-05-31,202.2300988254331
