Date,SP500
1975-01-31,3.3234913729237534
1975-02-28,14.049321551884917
1975-03-31,19.367785303953365
1975-04-30,20.636733873102386
1975-05-31,28.287322415396154
1975-06-30,31.563632968878533
1975-07-31,31.691968019578606
1975-08-31,22.04728152466472
1975-09-30,20.56439847605684
1975-10-31,26.12038166378401
1975-11-30,28.24328566299657
1975-12-31,26.29994425084055
1976-01-31,37.91758454275556
1976-02-29,43.29982893193773
1976-03-31,43.933281496575596
1976-04-30,45.13672115185247
1976-05-31,44.043848325052764
1976-06-30,44.90504571749122
1976-07-31,48.37099289587779
1976-08-31,47.07648304464042
1976-09-30,50.15424851696965
1976-10-31,45.07366263254698
1976-11-30,44.08870201813889
1976-12-31,49.02592052366203
1977-01-31,47.81906395136997
1977-02-28,43.75022760271667
1977-03-31,43.200285533359526
1977-04-30,41.03658916261189
1977-05-31,40.624336730787135
1977-06-30,41.37249768255935
1977-07-31,42.64333728226038
1977-08-31,39.18552779760823
1977-09-30,37.02459955889847
1977-10-31,33.4750376593049
1977-11-30,34.24936612510591
1977-12-31,33.59030707526336
1978-01-31,28.50565156943103
1978-02-28,26.691242667775185
1978-03-31,26.469516752107946
1978-04-30,32.00981865257788
1978-05-31,38.70464030231432
1978-06-30,39.059965581946514
1978-07-31,38.39170696034287
1978-08-31,47.97342383710278
1978-09-30,47.88124094199456
1978-10-31,43.22032027717945
1978-11-30,34.85621393927337
1978-12-31,36.84678299102452
1979-01-31,41.969239337003245
1979-02-28,39.868246533952316
1979-03-31,42.5491506425356
1979-04-30,45.33104953733236
1979-05-31,42.00159859674997
1979-06-30,44.84923013126836
1979-07-31,46.25006962581832
1979-08-31,52.86356521269494
1979-09-30,54.630268580734516
1979-10-31,48.75841974857088
1979-11-30,47.60615908329231
1979-12-31,53.46147635790361
1980-01-31,57.86441211405952
1980-02-29,64.23038042587014
1980-03-31,49.06191968504781
1980-04-30,46.61350295515369
1980-05-31,53.34512434603119
1980-06-30,63.10218087817756
1980-07-31,70.62896530781221
1980-08-31,75.84602172569086
1980-09-30,80.13939569388884
1980-10-31,85.42180376644167
1980-11-30,93.15739282793108
1980-12-31,90.06575036287296
1981-01-31,89.32892928152903
1981-02-28,82.82110222741609
1981-03-31,89.64117049414439
1981-04-30,91.4105259868167
1981-05-31,87.56513558742124
1981-06-30,88.3493146990701
1981-07-31,83.86404849324482
1981-08-31,84.57855269526061
1981-09-30,68.40313120197091
1981-10-31,70.57912847512559
1981-11-30,75.02419799127732
1981-12-31,76.26952245622275
1982-01-31,66.98917170771018
1982-02-28,63.02898814223017
1982-03-31,57.82738004315683
1982-04-30,65.6089112417286
1982-05-31,65.6742053677543
1982-06-30,56.19781075876956
1982-07-31,55.740655186251125
1982-08-31,56.131794619821605
1982-09-30,74.33194884636684
1982-10-31,88.89430680123044
1982-11-30,96.64096106779728
1982-12-31,98.44212613284898
1983-01-31,105.42095398010612
1983-02-28,109.02297345240865
1983-03-31,116.25589453184465
1983-04-30,124.56499147522463
1983-05-31,133.65675113716475
1983-06-30,136.89176172132068
1983-07-31,137.72033549535803
1983-08-31,131.26558137713656
1983-09-30,138.0186096735404
1983-10-31,138.7217390889326
1983-11-30,135.27117320499048
1983-12-31,134.0473031841093
1984-01-31,136.92560055985246
1984-02-29,123.90786634310697
1984-03-31,124.17575304803721
1984-04-30,124.40764974764416
1984-05-31,122.9117217375548
1984-06-30,118.03325418109547
1984-07-31,115.11902249581415
1984-08-31,134.11770205094973
1984-09-30,136.52658814120855
1984-10-31,134.6841625384871
1984-11-30,136.75337881961795
1984-12-31,134.20189972083583
1985-01-31,144.35813727127942
1985-02-28,157.56048683577438
1985-03-31,155.47485480027137
1985-04-30,157.18149311959073
1985-05-31,163.27649380849377
1985-06-30,168.95342635824747
1985-07-31,174.16280274245338
1985-08-31,168.12808771409925
1985-09-30,162.28931027339442
1985-10-31,165.1009918392559
1985-11-30,181.14123845331463
1985-12-31,195.11264471695276
1986-01-31,196.44607836236707
1986-02-28,212.35263030186533
1986-03-31,230.80875747648764
1986-04-30,238.84054977575224
1986-05-31,239.54013595395506
1986-06-30,249.27481723024795
1986-07-31,241.99058614462953
1986-08-31,248.85510555259134
1986-09-30,239.2695959032672
1986-10-31,237.969638380783
1986-11-30,248.98565061251225
1986-12-31,253.9875317701727
1987-01-31,276.6352558409978
1987-02-28,300.0202239999754
1987-03-31,316.4478888939196
1987-04-30,311.96339567699744
1987-05-31,311.6694943755022
1987-06-30,329.1386546650931
1987-07-31,341.53105333058295
1987-08-31,368.97063821243796
1987-09-30,353.7390538668454
1987-10-31,298.92365038965426
1987-11-30,248.86585523853674
1987-12-31,243.0954000852418
1988-01-31,256.65170468524684
1988-02-29,267.5466155825167
1988-03-31,278.3815761204931
1988-04-30,273.936333734743
1988-05-31,264.69286685539987
1988-06-30,285.42320464064073
1988-07-31,283.09765991324247
1988-08-31,275.51830772755153
1988-09-30,281.5605721755619
1988-10-31,294.9817796058853
1988-11-30,285.9095486854068
1988-12-31,293.7273916961102
1989-01-31,306.3986905588322
1989-02-28,318.64023879246866
1989-03-31,316.7922103942333
1989-04-30,330.373036435724
1989-05-31,347.00268565481133
1989-06-30,360.95360088091223
1989-07-31,372.6277763365609
1989-08-31,393.53241012218473
1989-09-30,394.5599979541508
1989-10-31,394.65649648083
1989-11-30,384.4354697697805
1989-12-31,396.3291830558515
1990-01-31,384.0834457241095
1990-02-28,370.5291484969226
1990-03-31,381.93789832893145
1990-04-30,381.5292379383779
1990-05-31,398.71847713653875
1990-06-30,413.1520021774876
