Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1986-12-31,82.84415174342652,120.81520766880898,122.88115625481402,86.44028436358698,226.09576335450535,131.19289629446462,233.4843401374755,126.4300914341421,106.97504697792711,94.5913769552897,112.87816236589485,79.12675643304487,100.16256926253615,77.58870512769892,61.72058589293888,86.39260022052277,80.88517028177934,103.00650636057472,129.5819989862033,125.157578133833,311.64460198162,83.42545166641557,98.4470780981265,60.22383985650913,103.32998432105977,92.14734705374423,83.58008304345306,132.42195470822392,238.41561860487357,200.75791889168264,141.6777856380753,188.36288884580588,109.75730926465191,73.65416579716604,80.16912451280731,95.68251673460198,102.45724218431825,116.07758420490549,235.50800665189763,94.9475971392737,54.08014548136615,93.33814041349771,125.84758044764378,102.77305106706662,131.82734659093444,116.5229849707401,141.34035577881141,53.79899526480938,75.11874747212825,83.61689052240038
1987-01-31,83.4819502724244,118.17171125709022,124.73017546873507,86.73015620765949,227.98730465323254,132.40281553615156,237.5340151275047,128.9180909590771,107.37681985050712,95.38965607461876,113.9690971275574,79.23160741348588,99.749783681005,78.5658903537837,62.552137124186984,86.20382237927791,81.24434140860188,103.10753624571365,132.86251904093078,126.37077694090233,315.147529969334,84.09388944898058,99.44618333546461,60.299469379201525,104.31107362514473,93.29595136645091,83.54324605102082,133.44981586558652,240.57867938294842,204.46625905948,142.28657846664373,190.62186713920386,110.72449455206574,74.00098208618545,80.91521169859695,95.04800582632993,102.92894234670706,117.39958518337654,242.79884555820982,96.62603778785359,54.7671270764376,94.26038191595255,125.55704684204848,103.65476441287619,134.1551217233374,117.45966571869228,142.95147009949235,53.62039522977663,75.80748383387011,82.44000690015244
1987-02-28,84.18883411600707,114.79689247466452,125.89610679738254,87.64747008604311,230.04791719768764,134.06600006626996,241.91266879771774,130.70465159635032,106.33614316235409,96.5183843738683,115.25575987502023,79.46312546150804,101.24027546433878,79.33891451561442,63.50214010006474,86.33843551297903,81.49155498381333,103.60988612587063,135.95674868981615,127.6862950503385,318.4937558293754,85.31751775770078,100.2749585767088,60.50847133612019,105.78440271113864,95.07288836276722,83.67562840707713,134.92312631783122,243.76689871665238,207.95390808405276,142.86836208707075,192.88612675170816,112.31138572694226,74.61914529926734,82.46712523864223,94.36014540958614,103.2147498742763,118.66511619140404,247.86804602130897,98.39947002744853,55.15362524100729,95.32466276538682,125.97549467266748,104.22574180200895,136.50258195695008,118.19303834794225,145.142558898604,53.81025601143615,76.59459871989019,81.1414719397686
1987-03-31,85.08813536378814,110.67407299674055,126.26153318792615,89.02881771944958,232.81694253379507,134.36091194370795,247.5508782843944,131.91866875221174,106.04881035451308,98.02200657704611,116.62106768887465,79.40657145583235,104.84427252468437,80.02588774236952,64.24528681278208,87.22256568670952,81.87413665334087,104.27525613793796,139.06384986259164,129.88361307299604,322.18099737130785,87.33252128756365,100.90218411225635,60.662065897961035,107.39364699885431,96.63006605758552,83.97669286772555,136.3151833676689,248.80819027800672,212.67050877422005,142.97283904597498,196.7104874569688,113.4781576700107,75.26324732319338,84.13196487606196,93.0929289561164,103.43879872964739,120.4904625196015,253.56104149623695,99.42040796716556,55.35934195629347,96.82146674787086,126.32047191000837,104.50007530956927,139.26928568856226,119.38263559746028,146.42038851106489,54.53556954287892,77.48926162374549,79.35809439295743
1987-04-30,85.84867832616555,105.94259302773501,125.8856162166866,90.40971344898507,236.18508081859605,133.08402803161187,255.38461887546316,133.32326785972162,108.3011804113619,98.99919698238693,117.7993025806499,78.73666759972386,107.95956161372446,80.61027376601322,64.45850599780057,88.49383067039145,82.87754466201702,104.88623253038404,142.42655089233742,133.03263836106666,326.65405653078807,89.51133894404563,101.92958529659111,60.76296045865868,108.85040116980932,97.4550556935848,84.16585236370685,137.21740817267008,254.9944663860824,220.02907366015467,142.49918800400874,201.0134248213123,114.04764301873352,75.75218294702077,85.96401737975157,91.28459463973059,103.63849680692292,123.92830861892516,261.7331428362026,99.62649236352651,55.58868221367246,98.32843720779644,124.05479217426875,104.38934379539036,142.60926461114795,121.72185759144008,146.6448298340481,55.76864481055224,78.51964795317829,77.13456108334033
1987-05-31,86.30386805013237,100.92246051999415,125.79086101406659,91.16754321009454,239.2760731427028,131.33164357337918,264.42842348655245,135.5785985559247,110.32946475742258,99.58902577115283,119.04663810859459,77.46970295379616,110.64071993280871,81.1586840777404,64.11072836947775,89.76278765309266,84.76638175191574,104.53371658614513,145.9102550237436,136.92693697040235,331.5230146527567,91.57896506285572,103.57272291013106,60.97413276569675,110.07238353243997,97.31002076318795,83.71796670847283,137.64085933678354,260.33858956275606,228.3549573577065,141.94567326312648,205.95504950350463,115.12730807569784,75.99190315035958,87.49945919928028,89.5138102871818,103.98258918829214,128.44728059706725,271.8042065385172,99.46597367512607,55.918423834188516,99.30970042369462,118.45914262173832,103.44138775717448,146.10165394306762,124.94354097072366,146.6031500170819,57.02207358719544,79.56453646533159,74.7837585707872
1987-06-30,86.57764704005405,96.09171694695996,126.32476818294339,91.11610965369337,242.7376751145722,129.55327215189445,272.37401547342085,138.71435245908452,111.4007068208772,100.91119030625083,120.92916359746845,75.77007051592471,112.76944991932484,81.94920639442375,63.58577824460319,90.54879320726238,86.98435975265956,102.62533851598776,149.40850295342247,140.94817866033878,336.122323553611,93.87252810261134,104.84198906096469,61.20996854214728,110.7962697117993,96.42331120891527,82.76201866694535,137.695532346505,263.7350675517256,235.19680590546545,141.96480785864125,211.509011042867,116.82955586684061,75.93483832839567,88.42627015832817,87.8418991917869,103.945526021812,133.13719580493975,282.0024215130637,99.28541057758194,56.11990502269153,99.64254809067603,116.45406938667068,101.77593365091562,149.40254022179863,128.39325357673684,147.1576130626946,57.73314066470025,80.58313215744279,72.61206183756627
1987-07-31,86.71815190328086,91.79507515979009,126.53428464549904,90.48977271863345,245.64623694347839,128.2694864206489,278.9572711040024,142.1981631483403,112.10389145438643,102.21476219877047,123.19695693052734,74.048351824198,114.19889667471463,82.9779106471427,63.345669925990926,90.3127231815847,88.60859061376918,99.90284088441145,152.76228404266905,143.7687536191355,339.12550435588145,95.61893260647076,105.25182300275043,61.42525931210353,111.00214365735712,95.00950846457583,81.9986618239418,137.8253344667755,265.543831704808,239.98487169281702,142.454542585027,215.74283537705327,118.23170575733786,75.58897560156393,88.93137069741796,85.92900014816026,103.50878415259162,137.03855225020098,291.0770589697107,99.51263168846808,56.09484115527036,99.66568415044755,118.00175164826894,100.02098702875065,152.24149356392286,131.63260381872354,148.06905857808945,57.72101328932889,81.46575369767365,70.7283850272584
1987-08-31,86.64702671245078,87.95659030947293,126.00361679845781,89.58304931446514,248.5304792658192,127.75523112023886,284.07966448036444,145.5584238164995,112.61139686540741,102.4679554446357,125.52826620569667,72.68613840052441,115.64135459638558,83.66558795183853,63.3084965179694,89.6779205767784,89.46295043155179,97.38010673000129,155.90899764835618,145.15014635425217,341.3819074617128,96.51174794460901,105.41566015594721,61.52711332500679,111.09061879525562,93.17554995090502,81.8428932564185,138.11810419304553,266.6408035906184,243.80207767108539,142.74554580326185,218.48709527782836,119.05868181456991,74.9885125418882,89.63686038463726,83.63993585499153,103.41901907382294,139.40211636462442,298.805949712052,100.26015511242105,55.85811736834409,100.05960177964414,117.70897031602047,98.47500885781066,154.89441316304092,133.8970631712554,148.29764065612972,57.16872463454064,82.09816478366058,68.85461330693157
1987-09-30,86.2002577672397,84.40758428229866,125.3580254381158,88.54688789133864,252.0604933519434,127.35243021658968,287.40626253032593,148.25197619564085,112.8506367445605,102.30854671878977,127.97071367294242,71.8051127716235,116.84749439314905,83.37834112497741,62.896316340581,89.41862903525913,89.54953989306647,95.7910974273607,159.03066036264468,146.3793997734029,344.0589720701668,97.23362757236336,105.51763002754576,61.276039864975395,111.06017098495961,91.18282791055496,82.2747919931112,138.08329886609414,268.05321235317064,247.02875792066743,142.66624112397858,220.7371163461815,119.82775886605303,74.21321820900918,90.22305600908543,81.33384122160535,103.65650368471351,141.2310380603507,305.43760678527605,101.20815671282358,55.45193758287416,100.81528888649562,116.16624686824856,97.33960586747152,157.79937800861663,135.36889015297507,148.2599746586317,56.60604480162353,82.60347493130827,66.86010681079955
1987-10-31,85.72560046750336,81.39951255155101,124.82836080135364,87.42045191958353,255.12667923868122,126.55561914070682,289.5784491416935,150.20551710508224,112.98869154273905,102.69475783897151,130.40636166140615,71.34603077990896,117.27018179955601,82.88055468575924,62.12557865708348,89.30390935553014,89.17816200545515,95.07760658170425,162.20043390439952,148.15917521918598,346.31467464101394,98.23129499066444,105.40025329071672,60.669666715595746,111.49807364641717,89.36756175720247,82.80052959096685,137.5368243548152,269.39875947024706,249.26137571724138,142.18926449954364,222.97291237563024,120.68910568839851,73.35538585356332,90.81391244904778,79.64231009260789,103.66298764524765,143.44742361608314,311.15947876543265,102.29113928775509,55.00295335638726,101.46740769906363,113.640099639993,96.89193376923212,160.85329840787227,137.06561133976837,148.4466082465282,56.52331080453483,82.78480625626128,64.79567430823612
