Date,HPI_US
1975-01-31,0.0
1975-02-28,0.621884914970682
1975-03-31,1.6485081930142258
1975-04-30,3.006170473835331
1975-05-31,3.8756785903897746
1975-06-30,4.097716353092879
1975-07-31,4.352939871378453
1975-08-31,4.7607263913888245
1975-09-30,5.137248338929739
1975-10-31,5.512799116946137
1975-11-30,6.003621488745879
1975-12-31,6.5968499413199
1976-01-31,7.209231477400851
1976-02-29,7.865196877651944
1976-03-31,8.790364220097604
1976-04-30,9.989015947541954
1976-05-31,10.876268512034555
1976-06-30,11.490337200053649
1976-07-31,12.252219539221198
1976-08-31,12.98754829226015
1976-09-30,13.568318407187306
1976-10-31,14.178115637868245
1976-11-30,15.021293247961161
1976-12-31,15.895848248032983
1977-01-31,16.717988062573802
1977-02-28,17.732938357667848
1977-03-31,19.29918642645062
1977-04-30,21.468771329586925
1977-05-31,23.36125499341905
1977-06-30,24.718606752301472
1977-07-31,26.157687792910373
1977-08-31,27.719474463610936
1977-09-30,29.061910442901407
1977-10-31,30.299745281469328
1977-11-30,31.650791085752985
1977-12-31,32.9172095676802
1978-01-31,34.07690114481447
1978-02-28,35.23009670350757
1978-03-31,36.629565855993775
1978-04-30,38.510327925765026
1978-05-31,40.422897864667256
1978-06-30,42.111309731326
1978-07-31,43.83501948767966
1978-08-31,45.4817794804669
1978-09-30,46.91482388018403
1978-10-31,48.3099043899538
1978-11-30,49.66136641096075
1978-12-31,50.85080246581281
1979-01-31,52.08291516702235
1979-02-28,53.52427716899945
1979-03-31,55.337490843770105
1979-04-30,57.6045835450878
1979-05-31,59.73093087667334
1979-06-30,61.46873751999016
1979-07-31,63.187602397208146
1979-08-31,64.99075438691924
1979-09-30,66.62696909643721
1979-10-31,67.88930722483744
1979-11-30,68.96307699016911
1979-12-31,69.91301215654254
1980-01-31,70.86449963123069
1980-02-29,72.01766937322981
1980-03-31,73.47483980455928
1980-04-30,75.0741892343981
1980-05-31,76.23635460008856
1980-06-30,77.11203625562707
1980-07-31,78.3510553978894
1980-08-31,79.87926081500885
1980-09-30,81.16900644152282
1980-10-31,81.87997293722817
1980-11-30,82.19079394121856
1980-12-31,82.65664358128582
1981-01-31,83.37585618882697
1981-02-28,84.17637752321589
1981-03-31,85.17684479306702
1981-04-30,86.33949313298588
1981-05-31,87.47056797877505
1981-06-30,88.45292329695057
1981-07-31,89.11260282891193
1981-08-31,89.41899394375125
1981-09-30,89.62690180366653
1981-10-31,89.74580594467176
1981-11-30,89.7146243150172
1981-12-31,89.73191505641933
1982-01-31,89.99160321579178
1982-02-28,90.4420637801153
1982-03-31,90.9963656203107
1982-04-30,91.57645165227427
1982-05-31,91.90503458841239
1982-06-30,91.83128796259795
1982-07-31,91.6036547646901
1982-08-31,91.50620866849222
1982-09-30,91.60898822964074
1982-10-31,91.92090409152225
1982-11-30,92.5140771031492
1982-12-31,93.34618342650622
1983-01-31,94.25282423054483
1983-02-28,95.1822309992907
1983-03-31,96.196459840462
1983-04-30,97.34953201216716
1983-05-31,98.5525807360362
1983-06-30,99.72384346407651
1983-07-31,100.74496565118369
1983-08-31,101.43305191296083
1983-09-30,101.91190398110857
1983-10-31,102.37843415975605
1983-11-30,102.85210425881102
1983-12-31,103.3420935562038
1984-01-31,103.86967025787224
1984-02-29,104.52067725260154
1984-03-31,105.50761281818755
1984-04-30,106.84462809824954
1984-05-31,108.2400916561062
1984-06-30,109.44754355678573
1984-07-31,110.44503477986004
1984-08-31,111.1498173071803
1984-09-30,111.5948081961137
1984-10-31,112.00378907143495
1984-11-30,112.55861564591059
1984-12-31,113.35495346611587
1985-01-31,114.2274063157754
1985-02-28,115.05289444770767
1985-03-31,115.89038932040167
1985-04-30,116.80099305063713
1985-05-31,117.9481669906811
1985-06-30,119.3782761231313
1985-07-31,120.93436995812398
1985-08-31,122.4742248209407
1985-09-30,123.62707617968623
1985-10-31,124.37916298090242
1985-11-30,125.01300978214529
1985-12-31,125.74953598917753
1986-01-31,126.61069623825856
1986-02-28,127.74835849664183
1986-03-31,129.24372855549126
1986-04-30,131.09268696694383
1986-05-31,133.32764187010125
1986-06-30,135.62892239845493
1986-07-31,137.56515024719295
1986-08-31,138.67014746023156
1986-09-30,139.24899644298299
1986-10-31,140.29808220162454
1986-11-30,141.736050284641
1986-12-31,142.93551725845634
1987-01-31,144.127460121934
1987-02-28,145.48149413850663
1987-03-31,147.21585955065123
1987-04-30,149.14090700082852
1987-05-31,150.88972974462038
1987-06-30,152.78740093819454
1987-07-31,154.422486492076
1987-08-31,155.57651814745262
1987-09-30,156.58776728709975
1987-10-31,157.43203742894954
1987-11-30,158.1383466304157
1987-12-31,158.85808052123875
1988-01-31,159.83776930432074
1988-02-29,161.16841171097758
1988-03-31,162.95190728503414
1988-04-30,165.09156856840465
1988-05-31,167.36066084101157
1988-06-30,169.50276664100107
1988-07-31,171.18918600391342
1988-08-31,172.46494013687015
1988-09-30,173.69793851368226
1988-10-31,175.01644819903467
1988-11-30,176.3773482379557
1988-12-31,177.72982306544063
1989-01-31,179.07110225139408
1989-02-28,180.62276902425293
1989-03-31,182.63790498688059
1989-04-30,184.95667864729222
1989-05-31,187.27213667080017
1989-06-30,189.4569956291348
1989-07-31,191.5656856112274
1989-08-31,193.41305793448186
1989-09-30,194.72756714864266
1989-10-31,195.76246093321785
1989-11-30,196.69763744442287
1989-12-31,197.69235653524888
1990-01-31,198.5332589144137
1990-02-28,199.16132268282112
1990-03-31,200.02038722929612
1990-04-30,201.05957195895073
1990-05-31,202.11254686118883
1990-06-30,203.14329182408943
